distance_km,pickup_lat,pickup_lng,drop_lat,drop_lng,Hour,Day,Month,DayOfWeek,ActualFare,PredictedFare
5.67,38.65296559634291,-109.19719335904558,38.64116012954412,-109.24616529263588,18,3,2,4,17.08,13.652050000000006
2.38,39.65899239767204,-115.14837759679034,39.698882963126096,-115.12339610834954,11,21,1,5,8.0,7.45445
8.57,40.05267731324266,-98.73057132048064,40.088008320473904,-98.68567715323086,21,28,1,5,22.14,18.837900000000005
8.77,40.65177585854416,-109.37438517778858,40.646277499088114,-109.36412797563732,1,21,1,5,14.95,20.47685
10.05,37.96330973346467,-99.22231209140378,37.92302288002275,-99.27078201937071,4,25,1,2,15.08,22.919349999999994
9.5,37.49039024266179,-94.30701280526064,37.539547824347714,-94.2941453133902,17,30,1,0,16.53,21.63210000000001
10.36,40.01994534196231,-99.92810143750312,39.98976479979088,-99.9665201250716,16,19,1,3,25.83,22.568699999999975
4.95,37.62798849532246,-119.44717506905488,37.66392169598413,-119.44308030715976,6,27,1,4,8.57,11.191300000000007
7.85,37.47675512651801,-109.94466329008804,37.456851214345086,-109.95290606018035,8,20,1,4,15.22,17.607349999999983
2.12,38.72680158593816,-75.93304461227724,38.73736862488495,-75.96246433434976,1,6,1,4,5.72,7.213000000000002
7.8,38.06399722067704,-118.00935741294909,38.10445184096873,-117.98882811138024,8,3,2,4,23.47,17.70465
9.19,38.34589957006456,-75.50009887579077,38.3346060272658,-75.50806728783427,1,27,1,4,22.54,20.87084999999997
7.0,39.66586982276027,-110.99575602777524,39.64017683656083,-110.98772166546706,17,20,1,4,14.02,15.246749999999999
5.28,37.00981724874687,-89.50655169881244,37.05920399926209,-89.48719384007009,15,8,1,6,11.45,13.0221
3.3,38.750675871104775,-94.95518738454903,38.73250337103246,-94.96276291614848,16,14,1,5,8.87,9.354549999999996
7.85,37.21479291324323,-94.76493087640728,37.23539813572454,-94.79300210087835,18,14,1,5,14.93,16.55879999999999
10.69,37.47338700468107,-100.30922593111998,37.46090679346113,-100.29955603331888,15,23,1,0,16.52,21.908700000000007
2.49,37.91371853560487,-120.79201220513114,37.94599430293558,-120.8171245510809,20,27,1,4,7.23,7.343399999999997
5.91,38.42776970592932,-104.25667202134542,38.414674430993685,-104.2444748852812,18,2,1,0,11.92,14.332200000000002
10.84,40.32250080172872,-103.17912511181676,40.31630188821926,-103.17932270707198,22,18,1,2,28.76,21.689700000000002
4.43,39.40007498739168,-80.81131404480081,39.411849704196,-80.79600735626865,14,20,1,4,10.48,11.290050000000008
5.7,38.02253488208068,-93.7301310610488,38.028057008152224,-93.68075363172574,8,7,1,5,13.86,13.608049999999997
5.37,40.94570537781425,-85.42701147501357,40.9415437701981,-85.3935080553669,3,28,1,5,11.73,12.447050000000006
7.22,40.34648036050311,-95.89015029004844,40.33398188575313,-95.8488570652373,15,21,1,5,14.86,16.14945000000001
11.19,37.67786599891687,-118.02013616915696,37.72558848643912,-118.01791411776288,13,25,1,2,22.28,25.01000000000002
3.93,37.40480145422312,-100.83470985979808,37.40461616370414,-100.79703018173488,6,14,1,5,11.2,10.888350000000008
9.46,38.376319254545024,-84.38588665264945,38.32855245137811,-84.40308321591147,4,3,2,4,25.31,19.280800000000035
3.71,40.2301399901456,-82.60415256115644,40.18666061499244,-82.56353565397045,3,19,1,3,11.84,10.475599999999995
3.54,39.69834632234423,-93.68253367084122,39.67931619684252,-93.6821646931304,10,24,1,1,7.97,9.080350000000008
9.52,38.1095981253872,-93.39004080813044,38.12614931242927,-93.43782079927657,4,12,1,3,25.0,20.13985000000001
9.58,38.52167772704048,-101.7354188349638,38.56321021008003,-101.74302443541444,17,1,2,2,21.81,19.58100000000001
6.71,37.094145424838,-103.05343996183026,37.1366740242028,-103.0339061199772,6,30,1,0,11.46,15.687299999999988
2.19,40.20354652493908,-94.91096309998473,40.20647855996688,-94.95353725318316,3,2,1,0,5.69,7.445399999999995
2.84,37.49340770518207,-76.84894611469383,37.512837063198944,-76.8053311056747,11,8,1,6,8.32,8.752849999999999
3.21,39.46883928745794,-115.47213567740944,39.50725463801946,-115.50494068841766,10,10,1,1,8.37,8.92505
6.26,40.007678688833344,-80.39523419156018,39.99830371713504,-80.39444435707227,0,7,1,5,13.57,15.276849999999989
12.22,40.62865636087933,-97.38119431116728,40.64583384179564,-97.36226541141036,23,14,1,5,26.48,25.34675000000001
6.99,38.961195733811024,-106.61562073875328,38.95768239584344,-106.56750969445264,13,13,1,4,18.05,15.49175
9.42,37.253224996664336,-121.41004192500976,37.29736332197926,-121.39854976992449,21,3,1,1,24.69,20.05364999999999
2.52,37.32283895893693,-98.27391564877117,37.29021524349016,-98.25445896982284,7,1,2,2,6.42,7.82335000000001
7.72,39.76049847553665,-109.72681796658932,39.71810866518887,-109.71037497345226,10,10,1,1,19.77,17.301699999999997
9.53,38.13437789800928,-111.75537953563573,38.13669314518594,-111.744287513545,6,25,1,2,14.93,21.60214999999999
8.53,39.21029580068379,-98.5649419586226,39.25693155996239,-98.5656599053303,8,4,2,5,21.92,18.732450000000007
3.41,38.1443084427052,-78.45266432774805,38.17098073279407,-78.48121190252758,13,28,1,5,10.03,9.745500000000003
6.38,38.825207107974165,-104.54539327532169,38.850672348978456,-104.5906959920938,21,2,1,0,17.54,14.687299999999999
8.76,37.1355383375135,-78.59053075187653,37.141495806049264,-78.55857787710018,0,4,1,2,20.78,19.8075
7.88,39.63195323195517,-95.48311567971808,39.59777422765019,-95.48363502736764,9,3,2,4,19.63,16.54325
1.67,40.76161137329216,-85.87583829004772,40.71710165375461,-85.91066148828062,11,4,1,2,6.76,6.0388
10.9,40.25637365494741,-105.61339674336368,40.234616376800695,-105.62141115699704,7,9,1,0,30.62,20.335100000000015
12.6,37.76551049148335,-74.85939200627946,37.724458083534046,-74.85046786669078,11,16,1,0,21.7,25.320949999999996
3.96,39.79008303856104,-103.04468770425228,39.757439248995794,-102.99973161309931,16,19,1,3,13.9,10.726750000000003
8.28,38.50360275793597,-91.89043194242706,38.49782312344825,-91.91038365415535,13,23,1,0,19.97,17.682750000000013
7.81,39.17032014004947,-96.24406614462518,39.17790821533113,-96.19684036414117,4,13,1,4,14.17,17.706549999999993
4.72,39.07839125897479,-103.72257036430284,39.10639736542786,-103.73043214491514,13,3,2,4,11.12,11.42059999999999
2.6,39.06043934651273,-85.14666669293908,39.0934941023912,-85.14735783140885,4,16,1,0,7.76,8.620199999999999
9.07,40.21909863981713,-77.31689251122992,40.21392198987564,-77.29933201555808,17,12,1,3,22.7,17.962250000000004
5.61,38.09515895406213,-118.54306512603382,38.06309666773991,-118.52799184065007,22,2,1,0,17.46,11.941200000000007
9.55,40.4475253827291,-97.75386043142892,40.462328026661936,-97.73454452713172,10,22,1,6,26.25,18.952900000000003
8.66,40.735111301245965,-111.76929654483628,40.72150761863457,-111.8133936230416,4,22,1,6,17.03,19.632900000000006
8.45,40.60454340399198,-87.86902954360727,40.59693095884428,-87.83662366380146,1,18,1,2,16.12,18.95135000000002
4.09,38.63270995965952,-78.7663702702308,38.63407467606599,-78.81286870443459,2,14,1,5,12.2,11.652000000000013
3.38,37.20817801817828,-98.77349717867509,37.206704431638,-98.80921878373448,23,29,1,6,9.63,8.815350000000002
4.37,37.484998471644445,-116.65027553112988,37.45373425255514,-116.6337984483058,8,3,1,1,11.52,10.986
11.28,40.05997999864686,-110.29057418823398,40.039507628867085,-110.24609941722358,19,2,1,0,24.73,24.080650000000002
7.84,39.18249812333178,-97.62409031830234,39.19199071228707,-97.61208603285658,11,5,1,3,21.51,17.887800000000002
3.89,40.31816879604653,-87.58136587109718,40.36560084418765,-87.57405663692901,16,11,1,2,8.21,9.782600000000011
5.62,38.85816122984341,-99.5301715003359,38.89026808921505,-99.54551387081968,12,10,1,1,14.2,13.069400000000014
4.03,37.748022931292326,-75.30875033575828,37.72141038981075,-75.2734867533668,4,31,1,1,9.05,10.703599999999993
3.45,37.13066057489015,-95.0156981631256,37.15742002684469,-94.99401843333622,18,19,1,3,10.06,9.608199999999997
11.6,38.65360385739796,-98.44189323769189,38.60584106200554,-98.42489890978388,5,30,1,0,28.53,22.763550000000006
7.11,38.31051596455082,-121.20073659046083,38.35221103632822,-121.23126568888684,20,20,1,4,19.23,16.936400000000003
6.27,40.55308382022885,-101.69640910084088,40.57333200782499,-101.65975166133556,16,28,1,5,15.44,14.405800000000013
9.04,38.87347589667616,-86.38223205060771,38.82613443448758,-86.36343626357343,21,19,1,3,15.71,21.054499999999997
7.62,39.302382267128095,-108.6840758502696,39.32629461266509,-108.71140000342204,16,6,1,4,17.52,16.979850000000013
5.2,37.14049550950492,-90.18262391566913,37.16742261569802,-90.17258410986614,21,28,1,5,9.66,12.090449999999993
11.03,38.47993165204198,-109.5971411982492,38.45467382038292,-109.56648555701744,6,30,1,0,19.4,25.31479999999998
6.47,39.93953583385135,-86.91052275403695,39.9241473000009,-86.92594879414752,6,6,1,4,13.73,14.36655000000001
12.81,39.05544275316193,-84.23152712347834,39.05615075012389,-84.24362863424723,8,18,1,2,32.23,27.38595000000001
12.61,40.28960001703229,-75.4184804964712,40.26821321940543,-75.42145783516652,9,13,1,4,26.05,23.704550000000012
6.49,39.0534157669572,-98.93661263383778,39.043091844814334,-98.9297370001047,22,31,1,1,14.57,15.38375000000001
6.78,39.749207337624085,-104.2153129251858,39.79242300424608,-104.24633913096302,8,22,1,6,18.8,16.06925
13.21,39.96796522519856,-76.34874128180736,39.97169579959862,-76.35613009985308,7,11,1,2,34.55,25.724149999999998
5.8,40.09144025211126,-121.48106273207696,40.12372032785535,-121.5187295153155,7,26,1,3,17.4,12.226050000000003
9.17,40.78188095386693,-112.99695534513572,40.78489847207134,-112.95802452627063,4,22,1,6,23.36,21.240049999999993
10.62,39.78882320988337,-94.92303429076011,39.81311655024852,-94.88296509062978,13,29,1,6,18.78,21.693499999999986
11.8,40.29602931202142,-89.79946361351995,40.30234124452864,-89.83631217607869,10,1,2,2,32.37,25.525750000000016
6.82,39.61149583563631,-75.43305500952404,39.562981132217054,-75.45550805186585,5,20,1,4,13.68,15.339349999999994
6.94,37.46381351572501,-99.9265272796317,37.47999423804753,-99.91256047701332,3,3,2,4,15.33,15.84995
7.71,40.31446063757847,-102.4912711853037,40.32056158848896,-102.45113460685842,22,14,1,5,15.99,15.982899999999995
10.24,39.9924482903314,-120.11924581849688,39.97824454530376,-120.08897158504084,3,17,1,1,19.3,21.426000000000002
9.9,39.13249416785101,-85.41190644284586,39.179215555871046,-85.39025070872312,9,28,1,5,28.14,21.502550000000006
7.78,37.59347584532755,-121.1431262595454,37.62753247834382,-121.11460448899876,11,5,1,3,20.88,17.553049999999995
7.05,37.556565629465936,-113.3070368464002,37.60289755661368,-113.32079191922372,3,12,1,3,16.57,15.659349999999984
9.66,40.03734664226426,-79.09437967545222,40.01083417026652,-79.12170478305808,15,4,2,5,24.69,21.017150000000004
3.91,38.45693696413155,-120.77780483166578,38.424249656257295,-120.79655846791228,12,25,1,2,10.86,10.319700000000003
8.25,39.28805424989075,-112.14937372522786,39.26399449346832,-112.16989546828356,10,25,1,2,13.28,18.43059999999998
6.65,38.13578819552223,-104.52716590068732,38.15440982399936,-104.57293724283905,11,1,2,2,19.37,15.40595
7.33,40.63272991756772,-100.2315819984628,40.61993983542861,-100.263145003554,11,15,1,6,17.87,15.611349999999986
10.14,40.601188277022246,-78.39873323235332,40.569810860072174,-78.36818593976587,0,1,1,6,25.55,19.320849999999993
7.49,38.96222108984686,-114.8774401256546,38.942383225166495,-114.8869259312862,22,22,1,6,13.12,17.481250000000006
3.59,37.1226711697538,-83.17286071972649,37.08087636089642,-83.16298225826698,17,7,1,5,9.08,9.392000000000012
5.31,38.935214712955776,-96.41234553472415,38.958683818910615,-96.3765890693262,19,3,1,1,13.09,12.075600000000003
11.65,40.46160865371634,-96.05083337555604,40.453954406228505,-96.01787455504864,23,14,1,5,19.85,23.984299999999983
11.54,39.38954225300239,-78.87321090983698,39.431474190017646,-78.90869511995668,1,1,2,2,24.85,25.613950000000013
3.27,40.13860083603698,-96.86520269820814,40.13719206654266,-96.81613582763286,0,6,1,4,10.63,9.389249999999995
8.93,38.80904168924512,-95.1592014136627,38.771049087747535,-95.180376106562,15,1,2,2,24.93,19.853900000000007
2.98,37.48228936461864,-107.46439964976337,37.51733664849364,-107.47470861570648,13,7,1,5,7.0,8.074350000000006
9.25,39.707207921222405,-112.31874342813386,39.65993473497264,-112.34920937414309,18,11,1,2,22.69,19.157250000000012
9.66,39.09968463758573,-91.47843540635812,39.09965865359391,-91.48073280793868,21,30,1,0,19.52,20.731150000000017
4.14,40.51245692117335,-81.10081834721369,40.51203428126307,-81.08229853087198,16,4,2,5,11.77,10.437899999999999
2.44,37.61253924739368,-109.02123870281362,37.60340889880933,-108.99187064599394,4,1,1,6,6.29,7.662750000000006
15.03,39.43585847373118,-79.94969616795612,39.48088083846953,-79.96630809547335,7,21,1,5,36.43,32.994099999999996
11.89,38.40517322892854,-90.22944119971108,38.4077694137084,-90.18140254808186,19,12,1,3,26.13,25.085150000000027
9.5,37.39588769472101,-121.02678667721108,37.36158642735515,-121.06528042260592,4,15,1,6,20.48,20.618799999999982
5.71,40.80083731400939,-76.99662315331663,40.82324304792219,-76.96301245021472,23,6,1,4,14.37,12.807249999999994
5.76,39.27787172220126,-115.22284435293412,39.321451969893424,-115.26202300757213,16,11,1,2,14.2,13.337000000000014
4.27,38.92317667125879,-93.07773073748088,38.8769604002559,-93.06989637049048,15,1,2,2,7.87,11.344850000000013
13.01,37.4093479392636,-92.49985540743673,37.4289361088816,-92.53844066285254,20,26,1,3,29.53,27.464699999999997
4.92,38.561291345578304,-93.05309493008669,38.56418488968045,-93.03645509407704,10,17,1,1,8.54,11.714250000000002
5.02,38.62274550242783,-90.96310993117184,38.60565912381312,-90.99231169615092,14,12,1,3,13.89,13.025849999999986
10.55,40.85540561776261,-120.5039434831497,40.89298098919716,-120.51842386551736,15,26,1,3,26.35,23.3769
8.75,39.32611229047119,-108.81708201697576,39.34318009383367,-108.77091321850088,16,3,2,4,22.38,19.819249999999982
7.49,39.63712389523029,-111.20999477653712,39.65629918744509,-111.19202770551364,12,1,1,6,11.17,16.117549999999987
12.43,40.73924461618177,-104.7774740354059,40.75415343409859,-104.7828604048691,6,6,1,4,27.54,25.63500000000001
6.11,40.96859773836901,-107.94857048392768,40.986699393938295,-107.91145452780708,1,28,1,5,18.73,13.781650000000004
8.76,39.35662605320071,-100.888956190132,39.35866129354922,-100.88574173869206,20,4,1,2,16.16,19.620599999999982
10.07,39.29399811780414,-112.51462654208804,39.30437732100666,-112.46792766666816,19,16,1,0,25.44,20.030450000000002
6.56,38.50277340115313,-88.43478369872923,38.52163027421642,-88.44180013290942,6,16,1,0,15.99,15.619849999999987
7.82,38.941150771350365,-108.74035336917612,38.93659749211714,-108.73944854461575,13,30,1,0,13.26,17.106250000000003
4.7,39.54754752972718,-97.43303534474563,39.587717947442925,-97.40696611494374,17,10,1,1,9.82,12.004849999999994
7.91,37.45320775923791,-89.56355102680871,37.43072398046766,-89.59702009121558,8,2,1,0,23.42,16.050799999999988
2.71,40.966440664111545,-89.01797737815221,40.99593117445209,-89.02764922809703,3,2,2,3,8.57,7.9730000000000025
3.97,37.49460103357527,-77.57341894495529,37.51037912279236,-77.54477464768837,16,29,1,6,10.37,10.847250000000004
9.28,40.941980216198566,-113.707561978911,40.91166577144079,-113.6703926155149,9,2,1,0,15.91,19.692800000000005
10.25,37.27150525315617,-111.33913196003957,37.24727901520274,-111.3878549699966,0,27,1,4,18.83,24.4359
3.28,40.14705687154287,-100.11004062456466,40.17364144281644,-100.07838510712232,17,28,1,5,9.29,9.179299999999998
7.48,39.94556788142909,-108.4940978630254,39.93385192751467,-108.52099384603753,0,13,1,4,19.24,16.834200000000003
4.17,39.71895374737073,-99.0366369315622,39.73999116028587,-99.0469836556168,8,22,1,6,8.03,11.646449999999984
4.41,39.18752541295442,-110.2005339741664,39.19024529249632,-110.2049240111366,20,14,1,5,12.75,10.893049999999993
1.41,37.0765718250963,-101.50142273895769,37.12143741986681,-101.47116007419118,22,2,1,0,7.63,5.542999999999998
6.09,38.733986566953455,-116.09091135542644,38.77608643897176,-116.11911631109145,3,22,1,6,12.13,13.648499999999999
5.9,39.124487497096965,-116.15485993489492,39.13263341141994,-116.12646002758896,7,4,1,2,15.17,13.2225
8.38,38.1907679953504,-98.72054593844553,38.223971624002125,-98.6925772664845,0,19,1,3,17.05,18.342650000000006
2.16,40.41889520127316,-73.54036337658076,40.44321186155768,-73.5089872723122,3,6,1,4,5.95,7.649049999999991
6.53,37.33040544655097,-99.2086141863651,37.31313959371289,-99.20410699506613,8,8,1,6,15.94,15.166999999999978
12.33,40.8560103429769,-107.6756082800189,40.822618894675976,-107.62649114251262,6,2,1,0,18.17,26.3565
7.08,37.09552144703569,-112.34516381761604,37.06171028068576,-112.38902396010248,16,20,1,4,15.53,15.325
1.64,40.12227516604703,-93.47662248254302,40.11374092176908,-93.43956664396345,4,30,1,0,6.81,5.328100000000004
5.74,38.21846419782519,-86.75219080077798,38.2328063938872,-86.7260818335071,23,8,1,6,13.52,14.224149999999986
0.39,40.29293080731368,-116.59658255460826,40.29871759550036,-116.63505094081655,23,24,1,1,4.75,3.7686499999999996
9.95,38.70821129194469,-120.97401801917806,38.68730883454924,-121.00180549603408,13,30,1,0,23.51,22.449500000000004
4.92,38.71896701699215,-109.6270291458197,38.7052383476294,-109.6652554212288,19,1,2,2,12.17,12.372049999999996
3.89,37.97355463967698,-81.6043220656381,38.00158466680056,-81.63574883973757,15,27,1,4,13.65,10.110150000000006
11.91,37.77738460192965,-117.34612262431315,37.78186555110541,-117.3458565398562,16,21,1,5,20.26,26.22629999999996
8.63,37.47975980558299,-94.3995678949788,37.52749053865489,-94.41717188726234,17,8,1,6,14.79,20.391600000000025
5.75,38.191029392106,-102.17082110302545,38.14342276359096,-102.14127216802676,11,22,1,6,13.59,14.138799999999993
5.99,40.92154095628109,-118.31783349287284,40.91557277732313,-118.358317792398,19,15,1,6,15.61,13.725950000000006
9.77,37.59525470036172,-78.80294412712001,37.62164854297949,-78.83701361814789,22,3,2,4,23.72,21.453999999999994
3.76,37.380583466237816,-109.76791181155536,37.39288892608502,-109.7594465641336,3,19,1,3,9.58,10.099849999999998
1.91,38.7296482326888,-99.564638801276,38.778060044528,-99.56535404568795,20,2,1,0,7.08,6.463250000000004
6.08,37.2728513879167,-105.25431605118816,37.25813100363755,-105.259621741713,22,5,1,3,14.35,14.237749999999988
4.4,40.96820699784257,-88.82359161175906,41.00159173274873,-88.85316148121441,20,16,1,0,12.84,11.708700000000006
6.09,39.32924008807483,-85.45263893003121,39.32576992977788,-85.43927025209031,6,12,1,3,12.42,14.287850000000008
7.47,37.57268134538881,-110.34029754656162,37.59593897104031,-110.3828565376117,12,3,2,4,18.45,17.482000000000006
5.65,38.29982279348296,-86.61035432194822,38.25860404729641,-86.56515623700332,8,11,1,2,11.21,12.709449999999999
15.84,37.77534669117906,-84.59400513818893,37.76057148015011,-84.61998862174022,21,6,1,4,30.24,31.822700000000005
4.21,37.85840650463456,-83.85751196592506,37.84765051767221,-83.87881092352403,13,17,1,1,11.22,10.003500000000004
5.81,40.7957177179843,-108.68488624400094,40.84351235259851,-108.66274846119148,14,29,1,6,9.77,13.496249999999996
9.3,38.22330948811285,-88.92166250696638,38.23556813448958,-88.94536333406455,12,28,1,5,21.91,20.346200000000003
3.37,38.12811872663137,-89.44150677208225,38.17435351587724,-89.40832251508996,22,22,1,6,9.1,8.869850000000001
9.57,37.20599341466656,-81.55690670870531,37.18564990720899,-81.60424257015127,6,17,1,1,22.63,20.82535000000003
6.11,37.4035706299538,-102.97547376998882,37.44157424846832,-102.95263334012596,14,20,1,4,15.98,14.060700000000006
10.1,37.54583605311456,-89.30369413948469,37.56371673352392,-89.34105502446674,16,31,1,1,25.67,20.618349999999996
6.72,39.61998350182456,-112.89660652660496,39.60365340080816,-112.86708902108616,15,7,1,5,17.21,15.199749999999986
9.77,37.27384727078911,-87.58016758911424,37.271699360132025,-87.5504487008391,10,20,1,4,20.52,22.255649999999992
8.82,40.6561253278363,-114.99846986967988,40.6245434055203,-114.9918126113627,23,3,1,1,12.83,18.94160000000001
7.48,40.858650596637766,-79.82412581475268,40.82511551868284,-79.81322834275167,0,16,1,0,12.64,16.936649999999993
5.64,37.778563927417046,-74.25226364147096,37.820276237203885,-74.27014338313792,8,24,1,1,10.66,12.774900000000008
7.58,37.55501834845745,-99.56211274405707,37.57695927445397,-99.58195036874,0,7,1,5,18.52,16.839850000000002
8.02,38.8712398912656,-97.55227109284309,38.902758494072025,-97.50891523279,6,22,1,6,18.74,18.129850000000012
11.16,40.58991286498188,-112.95938531917857,40.63621846004967,-112.95137330850756,0,8,1,6,25.37,23.1896
5.27,39.08882136949953,-102.50677607105452,39.1131918833547,-102.51824203345816,4,1,1,6,13.55,13.504200000000003
2.64,40.96379923960108,-114.00474428753492,40.990721174773554,-113.95919199011024,0,21,1,5,7.63,7.792550000000002
7.23,40.28100952515413,-82.66249428161407,40.28634855495503,-82.62466805786983,12,30,1,0,20.62,17.16035000000001
3.24,40.309150044165776,-107.20078633660276,40.32551343550184,-107.24781591314496,23,27,1,4,10.99,8.927300000000002
5.6,37.05593522158635,-121.660471651293,37.07376270422986,-121.624217981735,18,29,1,6,11.38,14.057200000000012
5.37,40.5505652954293,-111.03079753053048,40.51724911260842,-111.01914008804582,3,13,1,4,12.47,12.302849999999994
3.09,40.57962443285254,-99.50619384049094,40.6284137023946,-99.54839630399792,4,26,1,3,8.17,8.692
5.32,38.03977530209812,-102.85120814069684,38.019708440634176,-102.84451135222176,7,3,1,1,17.77,12.314250000000001
1.56,39.26560291301936,-101.93296608392455,39.25995676165296,-101.91367114252124,11,1,2,2,4.76,5.763500000000002
7.14,38.59523846673072,-92.43691292331803,38.6062665579764,-92.387452309846,5,5,1,3,16.1,16.071100000000012
7.61,39.82630747126152,-88.83069892469686,39.83462029552431,-88.83636461983085,0,16,1,0,12.73,16.847300000000004
4.17,39.22274370245477,-84.81974595655991,39.23098555561065,-84.77976980151064,6,22,1,6,11.45,10.66060000000001
7.51,37.24303435443214,-83.735038265192,37.20681269363635,-83.72284477733703,3,21,1,5,21.01,18.085900000000017
12.63,40.244129078725,-95.99867391366584,40.20636654475312,-96.0003281910891,20,23,1,0,33.2,25.988299999999995
11.77,37.404057316688814,-75.61579135198784,37.42659238371443,-75.63576809070827,12,28,1,5,26.55,25.950599999999994
2.49,39.37689541587464,-109.90928308119938,39.380737568873975,-109.89965624476967,18,24,1,1,9.07,8.04435000000001
13.94,39.4225422851228,-116.30330125811628,39.47232551185751,-116.30706840699558,22,1,2,2,30.55,29.085400000000007
8.44,40.63903882794688,-113.97284032865532,40.675207817698514,-113.9231177582686,16,22,1,6,23.44,19.585500000000014
10.66,37.93123621261272,-105.56129104585722,37.91563987941203,-105.57214874014224,9,10,1,1,20.76,23.26635000000001
3.03,39.826868051633696,-109.78955204683282,39.81140753184019,-109.75139879547189,9,15,1,6,8.95,8.6959
7.98,37.86157416644957,-92.57608900287735,37.89379794835334,-92.5617478639687,8,28,1,5,18.52,17.735550000000003
6.74,40.87047023699588,-73.89775557577832,40.823631004990496,-73.90975052308171,11,7,1,5,21.23,15.269099999999996
6.81,39.626150875891625,-78.47183126924472,39.60022680002255,-78.45274259279275,17,19,1,3,12.94,14.788150000000003
2.87,37.27215113149165,-113.94188748051349,37.3062153405138,-113.9450153713405,0,25,1,2,6.8,8.821699999999995
7.24,37.61543754246663,-106.39824614233096,37.61487149670351,-106.42711746199562,12,15,1,6,15.53,17.035149999999987
1.73,37.46473224820641,-106.04830988529744,37.47959047439752,-106.00814358169104,21,15,1,6,3.96,5.735400000000003
8.18,39.20498239277447,-108.49718549036196,39.16446865275343,-108.4613348630478,14,27,1,4,16.77,18.568700000000007
6.94,38.14066362628231,-95.62797402454808,38.130691275334776,-95.60029237028404,0,11,1,2,18.9,15.879550000000012
4.72,39.67489311595934,-95.02690694553876,39.62713115413815,-95.00848384871072,7,25,1,2,16.22,11.399000000000006
0.25,39.79912155618067,-92.445761234399,39.789748361173615,-92.43055468196968,16,5,1,3,5.34,3.588050000000001
4.95,38.55517725307288,-87.5478416952876,38.60019545832829,-87.55078878679194,20,5,1,3,10.51,12.699050000000005
4.73,40.84555205700217,-88.34936321882967,40.85539919781204,-88.34226447735324,7,29,1,6,10.81,12.516950000000008
4.74,40.86723987292987,-102.94731165462332,40.90123326022353,-102.90641433392524,4,13,1,4,14.35,11.696550000000002
